THANKSGIVING	B-ACONTECIMENTO_EFEMERIDE
Holst	I-PESSOA_INDIVIDUAL
em	O
Gdansk	B-LOCAL_HUMANO
?	O
Quem	O
é	O
Werner	B-PESSOA_INDIVIDUAL
Herzog	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
cidade	O
fica	O
o	O
Passeio	B-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Fama	I-LOCAL_HUMANO
?	O
Em	O
quantos	O
países	O
foram	O
transmitidas	O
as	O
Olimpíadas	B-ACONTECIMENTO_ORGANIZADO
de	O
Albertville	B-LOCAL_HUMANO
?	O
Qual	O
era	O
a	O
alcunha	O
de	O
Al	B-PESSOA_INDIVIDUAL
Capone	I-PESSOA_INDIVIDUAL
?	O
Quem	O
era	O
ele	O
?	O
Quando	O
é	O
que	O
ele	O
foi	O
alvejado	O
?	O
Que	O
idade	O
tinha	O
ele	O
quando	O
levou	O
a	O
sua	O
família	O
para	O
Chicago	B-LOCAL_HUMANO
?	O
Desde	O
quando	O
é	O
que	O
a	O
Suíça	B-LOCAL_HUMANO
é	O
membro	O
da	O
UNESCO	B-ORGANIZACAO_ADMINISTRACAO
?	O
Quem	O
era	O
a	O
presidente	O
do	O
comité	O
suíço	O
da	O
UNESCO	B-ORGANIZACAO_ADMINISTRACAO
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
estados-membros	O
tinha	O
a	O
organização	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
O	O
prémio	O
UNESCO	O
da	O
Paz	B-ABSTRACCAO_DISCIPLINA
é	O
de	O
quantos	O
dólares	O
?	O
Quem	O
era	O
o	O
presidente	O
do	O
júri	O
do	O
47º	B-ACONTECIMENTO_ORGANIZADO
Festival	I-ACONTECIMENTO_ORGANIZADO
Cinematográfico	I-ACONTECIMENTO_ORGANIZADO
de	O
Cannes	B-LOCAL_HUMANO
?	O
Que	O
filme	O
recebeu	O
a	O
Palma	O
de	O
Ouro	O
no	O
47º	B-ACONTECIMENTO_ORGANIZADO
Festival	I-ACONTECIMENTO_ORGANIZADO
de	O
Cannes	B-LOCAL_HUMANO
?	O
Quantos	O
filmes	O
competiam	O
pela	O
Palma	O
de	O
Ouro	O
do	O
47º	B-ACONTECIMENTO_ORGANIZADO
Festival	I-ACONTECIMENTO_ORGANIZADO
de	O
Cannes	B-LOCAL_HUMANO
?	O
Quem	O
recebeu	O
o	O
prémio	O
de	O
melhor	O
actriz	O
no	O
47º	B-ACONTECIMENTO_ORGANIZADO
Festival	I-ACONTECIMENTO_ORGANIZADO
de	O
Cannes	B-LOCAL_HUMANO
?	O
Quantos	O
golos	O
é	O
que	O
o	O
Pelé	B-PESSOA_INDIVIDUAL
marcou	O
na	O
sua	O
carreira	O
?	O
Em	O
que	O
três	O
categorias	O
é	O
que	O
Whitney	B-PESSOA_INDIVIDUAL
Houston	I-PESSOA_INDIVIDUAL
ganhou	O
o	O
prémio	O
Single	O
por	O
''	O
I	B-OBRA_REPRODUZIDA
will	I-OBRA_REPRODUZIDA
always	I-OBRA_REPRODUZIDA
love	I-OBRA_REPRODUZIDA
you	I-OBRA_REPRODUZIDA
''	O
?	O
O	O
que	O
é	O
o	O
Grammy	O
?	O
Que	O
autor	O
foi	O
o	O
primeiro	O
árabe	O
galardoado	O
com	O
o	O
Nobel	O
da	O
Literatura	O
?	O
O	O
que	O
são	O
os	O
''	O
Estudos	B-ACONTECIMENTO_EVENTO
sobre	I-ACONTECIMENTO_EVENTO
a	I-ACONTECIMENTO_EVENTO
Histeria	I-ACONTECIMENTO_EVENTO
''	O
?	O
Quem	O
foi	O
o	O
fundador	O
da	O
psicoanálise	O
?	O
De	O
que	O
cidade	O
é	O
Friedensreich	B-PESSOA_INDIVIDUAL
Hundertwasser	I-PESSOA_INDIVIDUAL
?	O
Quando	O
é	O
que	O
acabou	O
a	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
do	I-ACONTECIMENTO_EFEMERIDE
Vietname	I-ACONTECIMENTO_EFEMERIDE
?	O
Quantos	O
soldados	O
é	O
que	O
os	O
EUA	B-ORGANIZACAO_ADMINISTRACAO
tinham	O
estacionados	O
no	O
Vietname	B-LOCAL_HUMANO
durante	O
a	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
nos	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
60	I-TEMPO_TEMPO_CALEND
?	O
Quantas	O
pessoas	O
morreram	O
na	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
do	I-ACONTECIMENTO_EFEMERIDE
Vietname	I-ACONTECIMENTO_EFEMERIDE
?	O
Quem	O
era	O
presidente	B-PESSOA_CARGO
dos	I-PESSOA_CARGO
EUA	I-PESSOA_CARGO
quando	O
a	O
guerra	O
chegou	O
ao	O
fim	O
?	O
O	O
que	O
era	O
Napola	O
?	O
O	O
que	O
é	O
Madame	O
Tussaud	O
?	O
O	O
que	O
é	O
a	O
Mona	O
Lisa	O
?	O
Quanto	O
dinheiro	O
ganhou	O
``	O
Parque	B-OBRA_REPRODUZIDA
Jurássico	I-OBRA_REPRODUZIDA
''	O
de	O
Steven	B-PESSOA_INDIVIDUAL
Spielberg	I-PESSOA_INDIVIDUAL
?	O
Quem	O
escreveu	O
''	O
Mein	B-OBRA_REPRODUZIDA
Kampf	I-OBRA_REPRODUZIDA
''	O
?	O
Quem	O
é	O
Helmut	B-PESSOA_INDIVIDUAL
Newton	I-PESSOA_INDIVIDUAL
?	O
Quando	O
é	O
que	O
os	O
japoneses	O
atacaram	O
Pearl	B-LOCAL_HUMANO
Harbor	I-LOCAL_HUMANO
?	O
Quantos	O
americanos	O
morreram	O
no	O
ataque	O
a	O
Pearl	B-LOCAL_HUMANO
Harbor	I-LOCAL_HUMANO
a	B-TEMPO_TEMPO_CALEND
7	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
dezembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1941	I-TEMPO_TEMPO_CALEND
?	O
Que	O
grupo	O
ganhou	O
o	O
Festival	B-ACONTECIMENTO_ORGANIZADO
da	I-ACONTECIMENTO_ORGANIZADO
Eurovisão	I-ACONTECIMENTO_ORGANIZADO
em	O
Brighton	B-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
1974	I-TEMPO_TEMPO_CALEND
?	O
Quando	O
é	O
que	O
teve	O
lugar	O
o	O
primeiro	O
Festival	B-ACONTECIMENTO_ORGANIZADO
da	I-ACONTECIMENTO_ORGANIZADO
Eurovisão	I-ACONTECIMENTO_ORGANIZADO
?	O
Onde	O
é	O
que	O
teve	O
lugar	O
o	O
primeiro	O
Festival	B-ACONTECIMENTO_ORGANIZADO
da	I-ACONTECIMENTO_ORGANIZADO
Eurovisão	I-ACONTECIMENTO_ORGANIZADO
?	O
Qual	O
o	O
significado	O
da	O
sigla	O
UNICEF	B-ABSTRACCAO_NOME
?	O
Quando	O
é	O
que	O
foi	O
criada	O
a	O
UNICEF	B-ORGANIZACAO_ADMINISTRACAO
?	O
Onde	O
é	O
que	O
é	O
a	O
sede	O
da	O
UNICEF	B-ORGANIZACAO_ADMINISTRACAO
?	O
De	O
que	O
banda	O
rock	O
é	O
vocalista	O
Anthony	B-PESSOA_INDIVIDUAL
Kiedis	I-PESSOA_INDIVIDUAL
?	O
O	O
que	O
é	O
Stadium	B-ABSTRACCAO_DISCIPLINA
Arcadium	I-ABSTRACCAO_DISCIPLINA
?	O
Diga	O
três	O
albuns	O
da	O
banda	O
.	O
Quando	O
é	O
que	O
teve	O
lugar	O
a	O
primeira	O
Love	B-ACONTECIMENTO_ORGANIZADO
Parade	I-ACONTECIMENTO_ORGANIZADO
?	O
Quando	O
é	O
que	O
Audrey	B-PESSOA_INDIVIDUAL
Hepburn	I-PESSOA_INDIVIDUAL
e	O
Mel	B-PESSOA_INDIVIDUAL
Ferrer	I-PESSOA_INDIVIDUAL
se	O
casaram	O
?	O
Onde	O
é	O
que	O
mora	O
hoje	B-TEMPO_GENERICO
o	O
filho	O
de	O
Audrey	B-PESSOA_INDIVIDUAL
Hepburn	I-PESSOA_INDIVIDUAL
?	O
De	O
que	O
organização	O
é	O
que	O
ela	O
foi	O
nomeada	O
embaixadora	O
extraordinária	O
?	O
Quem	O
é	O
que	O
falou	O
em	B-TEMPO_TEMPO_CALEND
Setembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1939	I-TEMPO_TEMPO_CALEND
no	O
17º	B-ACONTECIMENTO_ORGANIZADO
Congresso	I-ACONTECIMENTO_ORGANIZADO
Internacional	I-ACONTECIMENTO_ORGANIZADO
do	I-ACONTECIMENTO_ORGANIZADO
PEN-clube	I-ACONTECIMENTO_ORGANIZADO
sobre	O
o	O
problema	O
da	O
liberdade	O
?	O
Diga	O
três	O
filmes	O
de	O
Martin	B-PESSOA_INDIVIDUAL
Scorsese	I-PESSOA_INDIVIDUAL
.	O
Em	O
que	O
universidade	O
é	O
que	O
ele	O
estudou	O
Cinematografia	B-ABSTRACCAO_DISCIPLINA
em	B-TEMPO_TEMPO_CALEND
1960	I-TEMPO_TEMPO_CALEND
?	O
Para	O
quantos	O
Óscares	O
é	O
que	O
ele	O
já	O
foi	O
nomeado	O
?	O
Quem	O
é	O
o	O
autor	O
da	O
obra	O
``	O
A	B-OBRA_REPRODUZIDA
Última	I-OBRA_REPRODUZIDA
Tentação	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Cristo	I-OBRA_REPRODUZIDA
''	O
?	O
Quando	O
é	O
que	O
foi	O
fundada	O
a	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Santiago	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Compostela	I-LOCAL_HUMANO
?	O
De	O
que	O
região	O
espanhola	O
é	O
que	O
Santiago	B-LOCAL_HUMANO
é	O
capital	O
?	O
Que	O
organização	O
nomeou	O
Santiago	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Compsotela	I-LOCAL_HUMANO
Património	O
Mundial	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
O	O
que	O
é	O
a	O
``	O
Rota	B-ACONTECIMENTO_
da	I-ACONTECIMENTO_
Prata	I-ACONTECIMENTO_
''	O
?	O
Onde	O
fica	O
Hiroxima	B-LOCAL_HUMANO
?	O
Diga	O
os	O
oito	O
bairros	O
de	O
Hiroxima	B-LOCAL_HUMANO
.	O
Qual	O
a	O
área	O
total	O
de	O
Hiroxima	B-LOCAL_HUMANO
?	O
O	O
que	O
é	O
a	O
CeBIT	B-ACONTECIMENTO_EVENTO
?	O
Quantos	O
exibidores	O
tinha	O
a	O
CeBIT	B-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
realizou	O
o	O
filme	O
``	O
Morte	B-OBRA_REPRODUZIDA
em	I-OBRA_REPRODUZIDA
Veneza	I-OBRA_REPRODUZIDA
''	O
?	O
Onde	O
é	O
que	O
tem	O
lugar	O
a	O
Semana	B-ACONTECIMENTO_ORGANIZADO
Verde	I-ACONTECIMENTO_ORGANIZADO
?	O
Quem	O
era	O
Herbert	B-PESSOA_INDIVIDUAL
Erhardt	I-PESSOA_INDIVIDUAL
?	O
Quando	O
foi	O
construído	O
o	O
estádio	O
do	O
Malmö	B-LOCAL_HUMANO
?	O
Onde	O
é	O
que	O
teve	O
lugar	O
o	O
Campeonato	B-ACONTECIMENTO_ORGANIZADO
do	I-ACONTECIMENTO_ORGANIZADO
Mundo	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Futebol	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1970	I-TEMPO_TEMPO_CALEND
?	O
Quando	O
é	O
que	O
teve	O
lugar	O
a	O
primeira	O
Oktoberfest	B-ACONTECIMENTO_ORGANIZADO
?	O
Quantas	O
pessoas	O
morreram	O
no	O
atentado	O
na	O
Oktoberfest	B-ACONTECIMENTO_ORGANIZADO
?	O
Quem	O
é	O
Henning	B-PESSOA_INDIVIDUAL
Mankell	I-PESSOA_INDIVIDUAL
?	O
Como	O
se	O
chama	O
o	O
inspector	O
da	O
polícia	O
no	O
seu	O
livro	O
``	O
Assassino	B-OBRA_REPRODUZIDA
sem	I-OBRA_REPRODUZIDA
rosto	I-OBRA_REPRODUZIDA
''	O
?	O
Diga	O
duas	O
afiliadas	O
da	O
Volvo	B-ORGANIZACAO_EMPRESA
.	O
Quando	O
foi	O
criada	O
a	O
Volvo	B-ORGANIZACAO_EMPRESA
Car	I-ORGANIZACAO_EMPRESA
Corporation	I-ORGANIZACAO_EMPRESA
?	O
Quem	O
foram	O
os	O
fundadores	O
da	O
Volvo	B-ORGANIZACAO_EMPRESA
?	O
Qual	O
é	O
a	O
área	O
do	O
Pentâgono	B-LOCAL_HUMANO
?	O
Quantos	O
lados	O
têm	O
o	O
Pentâgono	B-LOCAL_HUMANO
?	O
Que	O
significa	O
a	O
sigla	O
RAF	B-ABSTRACCAO_NOME
?	O
Quem	O
era	O
Rolf	B-PESSOA_INDIVIDUAL
Heissler	I-PESSOA_INDIVIDUAL
?	O
Diga	O
três	O
membros	O
da	O
RAF	O
.	O
Onde	O
fica	O
a	O
Galeria	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Ofícios	I-LOCAL_HUMANO
?	O
O	O
que	O
é	O
a	O
Galeria	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Ofícios	I-LOCAL_HUMANO
?	O
Qual	O
é	O
a	O
altura	O
do	O
Monte	B-LOCAL_FISICO
Branco	I-LOCAL_FISICO
?	O
Quando	O
é	O
que	O
o	O
Monte	B-LOCAL_FISICO
Branco	I-LOCAL_FISICO
foi	O
escalado	O
pela	O
primeira	O
vez	O
?	O
De	O
que	O
consiste	O
o	O
Monte	B-COISA_OBJECTO
Branco	I-COISA_OBJECTO
?	O
Qual	O
o	O
comprimento	O
da	O
alameda	O
principal	O
do	O
Prater	B-LOCAL_HUMANO
?	O
O	O
que	O
e	O
o	O
``	O
Wurstelprater	O
''	O
?	O
Onde	O
fica	O
o	O
Calafati	B-LOCAL_HUMANO
?	O
Quando	O
foi	O
publicada	O
a	O
API	B-OBRA_PLANO
Web	I-OBRA_PLANO
do	O
Google	B-ORGANIZACAO_EMPRESA
Qual	O
é	O
o	O
objectivo	O
do	O
Protocolo	B-OBRA_PLANO
de	I-OBRA_PLANO
Quioto	I-OBRA_PLANO
?	O
Diga	O
três	O
estados	O
signatários	O
do	O
Protocolo	B-OBRA_PLANO
.	O
Quantos	O
estados	O
aderiram	O
ao	O
Protocolo	B-OBRA_PLANO
de	I-OBRA_PLANO
Quioto	I-OBRA_PLANO
?	O
Quem	O
é	O
o	O
líder	O
da	O
organização	O
Pro	B-ORGANIZACAO_INSTITUICAO
Familia	I-ORGANIZACAO_INSTITUICAO
?	O
Quantos	O
membros	O
têm	O
a	O
organização	O
?	O
Qual	O
é	O
o	O
pico	O
mais	O
alto	O
de	O
África	B-LOCAL_FISICO
?	O
Quando	O
é	O
que	O
foi	O
criado	O
o	O
Parque	B-LOCAL_OUTRO
Nacional	I-LOCAL_OUTRO
do	I-LOCAL_OUTRO
Kilimanjaro	I-LOCAL_OUTRO
?	O
De	O
que	O
material	O
é	O
feito	O
o	O
Kilimanjaro	B-COISA_OBJECTO
?	O
A	O
que	O
partido	O
pertence	O
Angela	B-PESSOA_INDIVIDUAL
Merkel	I-PESSOA_INDIVIDUAL
?	O
Como	O
se	O
chama	O
o	O
irmão	O
dela	O
?	O
Quem	O
disse	O
``	O
Die	O
multikulturelle	O
Gegelllschaft	O
ist	O
gescheitert	O
''	O
?	O
.	O
O	O
que	O
é	O
uma	O
Okiya	O
?	O
O	O
que	O
são	O
hanamachi	O
?	O
Em	O
que	O
cidades	O
japonesas	O
ainda	O
existem	O
?	O
Quanto	O
custou	O
a	O
construção	O
da	O
Torre	B-OBRA_ARTE
Eiffel	I-OBRA_ARTE
?	O
Quem	O
é	O
Samuel	B-PESSOA_INDIVIDUAL
Hahnemann	I-PESSOA_INDIVIDUAL
?	O
Em	O
homeopatia	O
,	O
como	O
se	O
que	O
chama	O
o	O
processo	O
de	O
diluição	O
?	O
Em	O
quantos	O
livros	O
está	O
dividido	O
``	O
O	B-OBRA_REPRODUZIDA
Senhor	I-OBRA_REPRODUZIDA
dos	I-OBRA_REPRODUZIDA
Anéis	I-OBRA_REPRODUZIDA
''	O
?	O
Onde	O
fica	O
o	O
Alhambra	B-OBRA_ARTE
?	O
Onde	O
fica	O
a	O
sede	O
da	O
Warner	B-ORGANIZACAO_EMPRESA
Bros.	I-ORGANIZACAO_EMPRESA
?	O
Com	O
que	O
companhia	O
se	O
fundiu	O
a	O
Warner	B-ORGANIZACAO_EMPRESA
Bros.	I-ORGANIZACAO_EMPRESA
em	B-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
?	O
Que	O
profissão	O
praticou	O
Gerhard	B-PESSOA_INDIVIDUAL
Schröder	I-PESSOA_INDIVIDUAL
e	O
1978	O
a	O
1990	O
?	O
Em	O
que	O
encontro	O
ele	O
foi	O
representado	O
por	O
Chirac	B-PESSOA_INDIVIDUAL
?	O
Como	O
se	O
chama	O
a	O
quarta	O
mulher	O
dele	O
?	O
Qual	O
a	O
profundidade	O
do	O
Grand	B-LOCAL_FISICO
Canyon	I-LOCAL_FISICO
?	O
Como	O
se	O
chamam	O
as	O
três	O
cataratas	O
do	O
Canyon	B-LOCAL_FISICO
?	O
Que	O
marca	O
fez	O
Benetton	B-PESSOA_INDIVIDUAL
famoso	O
?	O
Onde	O
fica	O
o	O
Carlton	O
Center	O
?	O
O	O
que	O
é	O
Putuo	O
?	O
Quando	O
foi	O
fundada	O
a	O
SEAT	B-ORGANIZACAO_EMPRESA
?	O
A	O
que	O
companhia	O
alemã	O
pertence	O
hoje	B-TEMPO_GENERICO
a	O
SEAT	B-ORGANIZACAO_EMPRESA
?	O
Em	O
que	O
concerto	O
participaram	O
os	O
Coldplay	B-PESSOA_GRUPOMEMBRO
a	B-TEMPO_TEMPO_CALEND
2	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
?	O
Que	O
idade	O
tinha	O
Cate	B-PESSOA_INDIVIDUAL
Blanchett	I-PESSOA_INDIVIDUAL
quando	O
lhe	O
morreu	O
o	O
pai	O
?	O
Qual	O
foi	O
o	O
primeiro	O
filme	O
dela	O
?	O
De	O
que	O
país	O
é	O
Peter	B-PESSOA_INDIVIDUAL
Jackson	I-PESSOA_INDIVIDUAL
?	O
O	O
que	O
significa	O
viquingue	O
?	O
O	O
que	O
é	O
o	O
Santo	O
Ofício	O
?	O
Até	O
quando	O
existiu	O
a	O
Inquisição	B-ORGANIZACAO_INSTITUICAO
em	O
França	B-LOCAL_HUMANO
?	O
Como	O
se	O
chamava	O
a	O
mãe	O
de	O
Nero	B-PESSOA_INDIVIDUAL
?	O
Isabel	B-PESSOA_INDIVIDUAL
Allende	I-PESSOA_INDIVIDUAL
é	O
parente	O
de	O
que	O
antigo	O
presidente	B-PESSOA_CARGO
do	I-PESSOA_CARGO
Chile	I-PESSOA_CARGO
?	O
Onde	O
ficam	O
as	O
universidades	O
de	O
Yale	B-ORGANIZACAO_INSTITUICAO
e	O
Harvard	B-ORGANIZACAO_INSTITUICAO
?	O
Qual	O
é	O
o	O
maior	O
estado	O
da	O
Nova	B-LOCAL_HUMANO
Inglaterra	I-LOCAL_HUMANO
?	O
Porque	O
é	O
que	O
foi	O
construída	O
a	O
Coluna	B-OBRA_ARTE
da	I-OBRA_ARTE
Vitória	I-OBRA_ARTE
em	O
Berlim	B-LOCAL_HUMANO
?	O
Como	O
se	O
chama	O
a	O
escultura	O
de	O
bronze	O
que	O
existe	O
na	O
Coluna	B-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Vitória	I-LOCAL_HUMANO
?	O
Quando	O
é	O
que	O
morreu	O
Alfred	B-PESSOA_INDIVIDUAL
Hitchcock	I-PESSOA_INDIVIDUAL
?	O
Para	O
onde	O
é	O
que	O
ele	O
emigrou	O
em	B-TEMPO_TEMPO_CALEND
1939	I-TEMPO_TEMPO_CALEND
?	O
Como	O
é	O
que	O
se	O
chamava	O
o	O
seu	O
primeiro	O
filme	O
americano	O
?	O
Quem	O
organiza	O
o	O
Carnaval	B-ACONTECIMENTO_ORGANIZADO
do	O
Rio	B-LOCAL_HUMANO
?	O
Qual	O
é	O
o	O
comprimento	O
da	O
arena	O
do	O
Sambódromo	B-LOCAL_HUMANO
?	O
Biografia	O
de	O
Fitacola	B-PESSOA_GRUPOMEMBRO
Os	O
Fitacola	B-PESSOA_GRUPOMEMBRO
são	O
um	O
grupo	O
de	O
amigos	O
,	O
que	O
um	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
,	O
em	B-TEMPO_TEMPO_CALEND
2003	I-TEMPO_TEMPO_CALEND
em	O
Coimbra	B-LOCAL_HUMANO
,	O
se	O
lembraram	O
de	O
formar	O
uma	O
banda	O
na	O
garagem	O
e	O
brincar	O
aos	O
músicos	O
,	O
imitando	O
os	O
ídolos	O
que	O
admiravam	O
.	O
O	O
projecto	O
foi	O
continuando	O
nesta	O
toada	O
de	O
brincadeira	O
e	O
divertimento	O
até	B-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
,	O
altura	O
em	O
que	O
a	O
banda	O
fixou	O
a	O
formação	O
actual	O
.	O
Desde	O
então	O
,	O
aquilo	O
que	O
começou	O
por	O
ser	O
uma	O
brincadeira	O
de	O
amigos	O
,	O
saiu	O
para	O
fora	O
da	O
garagem	O
.	O
Começaram	O
a	O
surgir	O
concertos	O
e	O
reacções	O
,	O
bastante	O
positivas	O
,	O
ao	O
seu	O
desempenho	O
.	O
Os	O
Fitacola	B-PESSOA_GRUPOMEMBRO
caracterizam-se	O
por	O
um	O
som	O
jovem	O
.	O
Uma	O
atitude	O
rebelde	O
e	O
inconformista	O
perante	O
a	O
vida	O
,	O
e	O
uma	O
postura	O
enérgica	O
em	O
palco	O
.	O
As	O
letras	O
,	O
sempre	O
em	O
português	O
,	O
contêm	O
sempre	O
uma	O
mensagem	O
de	O
acção	O
,	O
positiva	O
,	O
procurando	O
combater	O
o	O
que	O
consideram	O
estar	O
mal	O
na	O
sociedade	O
,	O
representando	O
a	O
juventude	O
e	O
uma	O
geração	O
que	O
usa	O
a	O
voz	O
dos	O
Fitacola	B-PESSOA_GRUPOMEMBRO
para	O
provar	O
que	O
não	O
é	O
a	O
tal	O
``	O
geração	O
rasca	O
''	O
,	O
tendo	O
objectivos	O
,	O
valor	O
e	O
vontade	O
de	O
agir	O
e	O
mudar	O
o	O
que	O
está	O
mal	O
.	O
Esta	O
característica	O
de	O
humildade	O
e	O
carisma	O
da	O
banda	O
explica	O
a	O
grande	O
popularidade	O
que	O
a	O
banda	O
atinge	O
entre	O
as	O
camadas	O
mais	O
jovens	O
e	O
faixas	O
etárias	O
estudantes	O
pré-universitárias	O
.	O
A	O
banda	O
é	O
tida	O
como	O
um	O
modelo	O
e	O
exemplo	O
de	O
atitude	O
saudável	O
e	O
activa	O
perante	O
a	O
vida	O
por	O
parte	O
de	O
um	O
número	O
cada	O
vez	O
maior	O
de	O
fãs	O
da	O
banda	O
,	O
que	O
nela	O
se	O
revê	O
e	O
nas	O
suas	O
letras	O
,	O
músicas	O
e	O
atitude	O
.	O
Concertos	O
de	O
maior	O
destaque	O
:	O
Em	B-TEMPO_DURACAO
dois	I-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
a	O
banda	O
já	O
superou	O
a	O
marca	O
dos	O
75	B-VALOR_QUANTIDADE
concertos	O
,	O
entre	O
os	O
quais	O
se	O
destacam	O
:	O
Cercal	B-ACONTECIMENTO_ORGANIZADO
Rock	I-ACONTECIMENTO_ORGANIZADO
9ª	I-ACONTECIMENTO_ORGANIZADO
edição	I-ACONTECIMENTO_ORGANIZADO
.	O
Festival	B-ACONTECIMENTO_ORGANIZADO
Acção	I-ACONTECIMENTO_ORGANIZADO
Directa	I-ACONTECIMENTO_ORGANIZADO
2005	I-ACONTECIMENTO_ORGANIZADO
-LRB-	O
Açores	B-LOCAL_HUMANO
Ilha	I-LOCAL_HUMANO
Terceira	I-LOCAL_HUMANO
-RRB-	O
Recepção	B-ACONTECIMENTO_ORGANIZADO
ao	I-ACONTECIMENTO_ORGANIZADO
Caloiro	I-ACONTECIMENTO_ORGANIZADO
2005	I-ACONTECIMENTO_ORGANIZADO
-LRB-	O
Covilhã	B-LOCAL_HUMANO
-RRB-	O
com	O
Squeeze	O
theeze	O
pleeze	O
e	O
Fonzie	B-PESSOA_GRUPOMEMBRO
Queima	B-ACONTECIMENTO_ORGANIZADO
das	I-ACONTECIMENTO_ORGANIZADO
Fitas	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Coimbra	I-ACONTECIMENTO_ORGANIZADO
2006	I-ACONTECIMENTO_ORGANIZADO
com	O
Hands	B-PESSOA_GRUPOMEMBRO
on	I-PESSOA_GRUPOMEMBRO
Approach	I-PESSOA_GRUPOMEMBRO
e	O
Boss	B-PESSOA_GRUPOMEMBRO
AC	I-PESSOA_GRUPOMEMBRO
Semana	B-ACONTECIMENTO_ORGANIZADO
Académica	I-ACONTECIMENTO_ORGANIZADO
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Aveiro	B-LOCAL_HUMANO
-LRB-	O
2006	B-TEMPO_TEMPO_CALEND
-RRB-	O
com	O
Pluto	B-PESSOA_GRUPOMEMBRO
e	O
Expensive	B-PESSOA_GRUPOMEMBRO
Soul	I-PESSOA_GRUPOMEMBRO
Semana	B-ACONTECIMENTO_ORGANIZADO
Académica	I-ACONTECIMENTO_ORGANIZADO
2006	I-ACONTECIMENTO_ORGANIZADO
-LRB-	O
Castelo	B-LOCAL_HUMANO
Branco	I-LOCAL_HUMANO
-RRB-	O
com	O
Tara	B-PESSOA_GRUPOMEMBRO
Perdida	I-PESSOA_GRUPOMEMBRO
Hardclub	B-LOCAL_HUMANO
-LRB-	O
V.N.	B-LOCAL_HUMANO
Gaia	I-LOCAL_HUMANO
.	O
-RRB-	O
-	O
com	O
Twenty	B-PESSOA_GRUPOMEMBRO
Toon	I-PESSOA_GRUPOMEMBRO
Recepção	B-ACONTECIMENTO_ORGANIZADO
ao	I-ACONTECIMENTO_ORGANIZADO
Caloiro	I-ACONTECIMENTO_ORGANIZADO
2006	I-ACONTECIMENTO_ORGANIZADO
-LRB-	O
IPC	B-LOCAL_HUMANO
-RRB-	O
Coimbra	B-LOCAL_HUMANO
com	O
Peste	B-PESSOA_GRUPOMEMBRO
&	I-PESSOA_GRUPOMEMBRO
Sida	I-PESSOA_GRUPOMEMBRO
e	O
Asher	B-PESSOA_GRUPOMEMBRO
Lane	I-PESSOA_GRUPOMEMBRO
-LRB-	O
Alemanha	B-LOCAL_HUMANO
-RRB-	O
RockOff	B-ACONTECIMENTO_ORGANIZADO
2006	I-ACONTECIMENTO_ORGANIZADO
VI	I-ACONTECIMENTO_ORGANIZADO
edição	I-ACONTECIMENTO_ORGANIZADO
-LRB-	O
Cantanhede	B-LOCAL_HUMANO
-RRB-	O
Março	B-ACONTECIMENTO_ORGANIZADO
Jovem	I-ACONTECIMENTO_ORGANIZADO
